"Goroka.Airport","Goroka","Papua.New.Guinea","GKA"
"Prominent Hill Airport","Prominent Hill","Australia","PXH"
"Cowra Airport","Chatsworth","Australia","CWT"
"Coral Bay Airport","Coral Bay","Australia","\N"
"Ogden Hinckley Airport","Ogden","United States","OGD"
"Lake Country Regional Airport","Clarksville","United Arab Emirates","\N"
"Robert S Kerr Airport","Poteau","United States","\N"
"Colorado Plains Regional Airport","Akron","United States","AKO"
"Sanderson Field","Shelton","United States","SHN"
"Napakiak Airport","Napakiak","United States","WNA"
"Napaskiak Airport","Napaskiak","United States","PKA"
"Tok Airport","Tok","United States","\N"
"Bedwell Harbour Seaplane Base","Bedwell Harbour","Canada","YBW"
"Washabo Airport","Washabo","Suriname","WSO"
"Popham Airfield","Popham","United Kingdom","\N"
"Causey Airport","Liberty","United States","\N"
"Abaco I Walker C Airport","Walker's Cay","Bahamas","WKR"
"Black Point Airstrip","Black Point","Bahamas","\N"
"Bartica A Airport","Bartica","Guyana","GFO"
"Doylestown Airport","Doylestown","United States","DYL"
"Cape Town Waterfort Heliport","Cap Town","South Africa","\N"
"Tingo Maria Airport","Tingo Maria","Peru","TGI"
"Plínio Alarcom Airport","Tres Lagoas","Brazil","TJL"
"Zhangye Ganzhou Airport","Zhangye","China","YZY"
"Cacoal Airport","Cacoal","Brazil","OAL"
"Warren Field","Washington","United States","OCW"
"Hyde County Airport","Engelhard","United States","\N"
"Mocopulli Airport","Castro","Chile","MHC"
"Stillwater Regional Airport","Stillwater","United States","SWO"
"Okmulgee Regional Airport","Okmulgee","United States","OKM"
"Cushing Municipal Airport","Cushing","United States","CUH"
"Clinton Sherman Airport","Clinton","United States","CSM"
"Strother Field","Winfield","United States","WLD"
"Wiley Post Airport","Oklahoma City","United States","PWA"
"Shreveport Downtown Airport","Shreveport","United States","DTN"
"Stephenville Clark Regional Airport","Stephenville","United States","SEP"
"Perry Municipal Airport","Perry","United States","\N"
"Hamilton Municipal Airport","Hamilton","United States","\N"
"Ada Regional Airport","Ada","United States","ADT"
"Mesquite Metro Airport","Misquite","United States","\N"
"Denton Municipal Airport","Denton","United States","\N"
"Austin Executive Airport","Austin","United States","\N"
"Lago Vista Tx Rusty Allen Airport","Lago Vista","United States","\N"
"Brenham Municipal Airport","Brenham","United States","\N"
"Lakeway Airpark","Lakeway","United States","\N"
"Iraan Municipal Airport","Iraan","United States","IRB"
"Kestrel Airpark","San Antonio","United States","\N"
"Elliot Lake Municipal Airport","ELLIOT LAKE","Canada","YEL"
"Wilkes County Airport","North Wilkesboro","United States","IKB"
"Charleston Executive Airport","Charleston","United States","\N"
"Danville Regional Airport","Danville","United States","DAN"
"Brookneal/Campbell County Airport","Brookneal","United States","\N"
"Yerbogachen Airport","Yerbogachen","Russia","ERG"
"Cheraw Municipal Airport/Lynch Bellinger Field","Cheraw","United States","HCW"
"Wauchula Municipal Airport","Wuchula","United States","\N"
"Lilydale Airport","Lilydale","Australia","\N"
"Beni Mellal Airport","Beni Mellal","Morocco","BEM"
"Şırnak Şerafettin Elçi Airport","Cizre","Turkey","NKT"
"Suntar Airport","Suntar","Russia","SUY"
"Tazadit Airport","Zouerat","Mauritania","OUZ"
"Asaba International Airport","Asaba","Nigeria","ABB"
"Akwa Ibom International Airport","Uyo","Nigeria","QUO"
"Kasama Airport","Kasama","Zambia","KAA"
"Mbeya Airport","Mbeya","Tanzania","\N"
"Mpanda Airport","Mpanda","Tanzania","\N"
"Songea Airport","Songea","Tanzania","SGX"
"Morogoro Airport","Morogoro","Tanzania","\N"
"Jiuhuashan Airport","Chizhou","China","JUH"
"Anshan Air Base","Anshan","China","AOG"
"Saertu Airport","Daqing","China","DQA"
"Zunyi Xinzhou Airport","Zunyi","China","ZYI"
"Conway Horry County Airport","Conway","United States","\N"
"Lindu Airport","Yinchun","China","LDS"
"Anshun Huangguoshu Airport","Anshun","China","AVA"
"Sikasso Airport","Sikasso","Mali","KSS"
"Toowoomba Wellcamp Airport","Toowoomba","Australia","WTB"
"Tonghua Sanyuanpu Airport","Tonghua","China","TNH"
"Suzhou Guangfu Airport","Suzhou","China","SZV"
"City Airport Manchester","Manchester","United Kingdom","\N"
"Sleap Airport","Shrewsbury","United Kingdom","\N"
"Tatenhill Airfield","Burton-on-Trent","United Kingdom","\N"
"Full Sutton Airfield","York","United Kingdom","\N"
"Sherburn-In-Elmet Airfield","Leeds","United Kingdom","\N"
"Beringin Airport","Muara Teweh","Indonesia","\N"
"Mulia Airport","Mulia","Indonesia","LII"
"Stenkol Airport","Bintuni","Indonesia","NTI"
"Wasior Airport","Wasior","Indonesia","WSR"
"Silangit Airport","Siborong-Borong","Indonesia","DTB"
"Lasikin Airport","Sinabang","Indonesia","\N"
"Seunagan Airport","Nagan Raya","Indonesia","MEQ"
"Betoambari Airport","Bau-Bau","Indonesia","BUW"
"Kao Airport","Kao","Indonesia","KAZ"
"Melangguane Airport","Melonguane","Indonesia","MNA"
"Sanggata/Sangkimah Airport","Sanggata","Indonesia","SGQ"
"Muara Bungo Airport","Muara Bungo","Indonesia","BUU"
"Selayar/Aroepala Airport","Selayar","Indonesia","\N"
"Illaga Airport","Illaga","Indonesia","ILA"
"Oksibil Airport","Oksibil","Indonesia","OKL"
"Kokonau Airport","Kokonau","Indonesia","KOX"
"Clermont Airport","Clermont","Australia","CMQ"
"Warrnambool Airport","Warrnambool","Australia","WMB"
"Richmond Airport","Richmond","Australia","RCM"
"RAAF Base Curtin","Derby","Australia","DCN"
"Kualanamu International Airport","Medan","Indonesia","KNO"
"Gratiot Community Airport","Kamloops","Canada","AMN"
"Asheboro Regional Airport","Asheboro","United States","\N"
"Seosan Air Base","Seosan","South Korea","HMY"
"Henderson Field","Wallace","United States","\N"
"Emporia Greensville Regional Airport","Emporia","United States","\N"
"San Gabriel Valley Airport","El Monte","United States","EMT"
"Farah Airport","Farah","Afghanistan","FAH"
"Pasighat Airport","Pasighat","India","IXT"
"Kee Field","Pineville","United States","\N"
"Kramatorsk Airport","Kramatorsk","Ukraine","KRQ"
"Kautokeino Air Base","Kautokeino","Norway","QKX"
"Lille/Marcq-en-Baroeul Airport","Marcq En Baroeul","France","\N"
"Kawass Airport","Kamsar","Guinea","\N"
"Stinson Municipal Airport","Stinson","United States","SSF"
"Sallisaw Municipal Airport","Sallisaw","United States","\N"
"Jasper County Airport-Bell Field","Jasper","United States","JAS"
"El Dorado Springs Memorial Airport","El dorado springs","United States","\N"
"Marfa Municipal Airport","Marfa","United States","MRF"
"Alpine Casparis Municipal Airport","Alpine","United States","ALE"
"Bubaque Airport","Bubaque","Guinea-Bissau","BQE"
"Chichen Itza International Airport","Chichen Itza","Mexico","CZA"
"Bunbury Airport","Bunbury","Australia","BUY"
"Cable Airport","Upland","United States","CCB"
"Mount Sterling Montgomery County Airport","Mount Sterling","United States","\N"
"Elkhart Municipal Airport","Elkhart","United States","EKI"
"Nappanee Municipal Airport","Nappanee ","United States","\N"
"Jim Hamilton L.B. Owens Airport","Columbia","United States","CUB"
"Grove Municipal Airport","Grove","United States","\N"
"Mc Pherson Airport","Mc Pherson","United States","\N"
"Donaldson Field Airport","Greenville","United States","GDC"
"Perry Houston County Airport","Perry","United States","\N"
"Hartsville Regional Airport","Hartsville","United States","HVS"
"Horace Williams Airport","Chapel Hill","United States","\N"
"San Cristobal de las Casas Airport","San Cristobal de las Casas","Mexico","SZT"
"Dunnville Airport","Dunnville","Canada","DU9"
"Brunswick County Airport","Oak Island","United States","\N"
"Chesterfield County Airport","Richmond","United States","\N"
"Atherton Airport","Atherton","Australia","\N"
"Bagdarin Airport","Bagdarin","Russia","\N"
"Scarlett Martinez International Airport","Rio Hato","Panama","RIH"
"Henderson Oxford Airport","Oxford","United States","\N"
"Leesburg International Airport","Leesburg","United States","LEE"
"Semyazino Airport","Vladimir","Russia","\N"
"Witberg Tswalu Airport","Dedeben","South Africa","\N"
"Mana Pools Airport","Mana Pools","Zimbabwe","\N"
"Pouso Alegre Airport","Pouso Alegre","Brazil","PPY"
"Brigadeiro Cabral Airport","Divinopolis","Brazil","DIQ"
"Yeysk Airport","Eysk","Russia","EIK"
"Berdyansk Airport","Berdyansk","Ukraine","ERD"
"Blimbingsari Airport","Banyuwangi","Indonesia","BWX"
"Erenhot Saiwusu International Airport","Erenhot","China","ERL"
"Shobdon Aerodrome","Shobdon","United Kingdom","\N"
"Chino Airport","Chino","United States","CNO"
"Kamigoto Airport","Shin-kamigoto","Japan","\N"
"Ojika Airport","Odika","Japan","\N"
"Chofu Airport","Tokyo","Japan","\N"
"Hateruma Airport","Taketomi","Japan","HTR"
"Madison County Airport","London","United States","\N"
"Las Brujas Airport","Cayo Santa Maria","Cuba","BWW"
"Digby (General Hospital) Heliport","Tremblay-en-France","France","\N"
"Thun Airport","Thun","Switzerland","\N"
"Lavrentiya Airport","Lavrentiya","Russia","\N"
"Paso Robles Municipal Airport","Paso Robles","United States","PRB"
"N 104 Helipad","Ulleung","South Korea","\N"
"Beijing Daxing International Airport","Beijing","China","PKX"
"Kymi Airport","Kotka","Finland","\N"
"Half Moon Bay Airport","Half Moon Bay","United States","HAF"
"Hechi Jinchengjiang Airport","Hechi","China","HCJ"
"Kadina Airport","Kadina","Australia","\N"
"General WM J Fox Airfield","Lancaster","United States","WJF"
"Coondewanna Airport","Coondewanna","Australia","CJF"
"Guarapari Airport","Guarapari","Brazil","GUZ"
"Ubatuba Airport","Ubatuba","Brazil","UBT"
"Ali Air Base","Nasiriyah","Iraq","\N"
"Ota Air Base","Ota","Portugal","\N"
"Borroloola Airport","Borroloola","Australia","BOX"
"Elsenthal Grafe Airport","Elsenthal","Germany","\N"
"Newtownards Airport","Newtownards","United Kingdom","\N"
"Lashenden (Headcorn) Airfield","Headcorn","United Kingdom","\N"
"Panshanger Aerodrome","Panshanger","United Kingdom","\N"
"Thurrock Airfield","Thurrock","United Kingdom","\N"
"Stapleford Aerodrome","Stapleford","United Kingdom","\N"
"HAL Airport","Bangalore","India","\N"
"Chichester/Goodwood Airport","Goodwood","United Kingdom","QUG"
"Omarama Glider Airport","Omarama","New Zealand","\N"
"Haast Aerodrome","Haast","New Zealand","\N"
"Meschede-Schüren Airport","Meschede","Germany","\N"
"Jumandy Airport","Tena","Ecuador","TNW"
"Morro da Urca Heliport","Rio de Janeiro","Brazil","\N"
"Dongji Aiport","Fuyuan","China","FYJ"
"Skúvoy Heliport","Skuvoy","Faroe Islands","\N"
"Stóra Dímun Heliport","Stora Dimun","Faroe Islands","\N"
"Frooba Heliport","Frooba","Faroe Islands","\N"
"Person County Airport","Roxboro","United States","\N"
"Zulu Inyala Airport","Phinda","South Africa","PZL"
"Liupanshui Yuezhao Airport","Liupanshui","China","LPF"
"Kaili Airport","Kaili","China","KJH"
"Shennongjia Hongping Airport","Shennongjia","China","HPG"
"Zhangjiakou Ningyuan Airport","Zhangjiakou","China","ZQZ"
"Arxan Yi'ershi Airport","Arxan","China","YIE"
"Hengyang Nanyue Airport","Hengyang","China","HNY"
"Hongyuan Airport","Ngawa","China","AHJ"
"Wonsan Kalma International Airport","Wonsan","North Korea","WOS"
"Mestia Queen Tamar Airport","Mestia","Georgia","\N"
"Magas Airport","Magas","Russia","IGT"
"Talladega Municipal Airport","Talladega","United States","ASN"
"Greenville Downtown Airport","Greenville","United States","GMU"
"Mankato Regional Airport","Mankato","United States","\N"
"Captain Auguste George Airport","Anegada","British Virgin Islands","NGD"
"Troy Municipal Airport at N Kenneth Campbell Field","Troy","United States","TOI"
"Merkel Field Sylacauga Municipal Airport","Sylacauga","United States","\N"
"Enterprise Municipal Airport","Enterprise","United States","ETS"
"Ryan Field","Tucson","United States","\N"
"Efogi Airport","Efogi","Papua New Guinea","EFG"
"Kagi Airport","Kagi","Papua New Guinea","KGW"
"Nadunumu Airport","Nadunumu","Papua New Guinea","NDN"
"Bodinumu Airport","Bodinumu","Papua New Guinea","BNM"
"Thomas C Russell Field","Alexander City","United States","ALX"
"Port Keats Airport","Wadeye","Australia","PKT"
"Garden Point Airport","Pirlangimpi","Australia","GPN"
"Stade Airport","Stade","Germany","\N"
"Meriden Markham Municipal Airport","Meriden","United States","\N"
"Flinders Island Airport","Elliston","Australia","\N"
"Luzern-Beromunster Airport","Lucerne","Switzerland","\N"
"La Grand'combe Airport","La Grand'Combe","France","\N"
"Hamad International Airport","Doha","Qatar","DOH"
"Fort Mackay / Horizon Airport","Wood Buffalo","Canada","HZP"
"Canmore Municipal Heliport","Canmore","Canada","\N"
"Krasnokamensk Airport","Krasnokamensk","Russia","\N"
"Ridgely Airpark","Ridgely","United States","\N"
"New Castle Henry Co. Municipal Airport","New Castle","United States","\N"
"Scott City Municipal Airport","Scott City","United States","\N"
"Brewster Field","Holdredge","United States","HDE"
"Pratt Regional Airport","Pratt","United States","PTT"
"Yubileyniy Airfield","Baikonur","Kazakhstan","\N"
"Wahoo Municipal Airport","Wahoo","United States","\N"
"Jim Kelly Field","Lexington","United States","LXN"
"Sublette Municipal Airport","Sublette","United States","\N"
"Council Bluffs Municipal Airport","Council Bluffs","United States","CBF"
"Kokomo Municipal Airport","Kokomo","United States","OKK"
"Neodesha Municipal Airport","Neodesha","United States","\N"
"King Ranch Airport","Sutton","United States","\N"
"Elkhart Morton County Airport","Elkhart","United States","\N"
"Front Range Airport","Denver","United States","\N"
"Galesburg Municipal Airport","Galesburg","United States","GBG"
"Guymon Municipal Airport","Guymon","United States","GUY"
"Meade Municipal Airport","Meade","United States","\N"
"Turkey Mountain Estates Airport","Shell Knob","United States","\N"
"Ulysses Airport","Ulysses","United States","\N"
"Flagler Aerial Spraying Inc Airport","Flagler","United States","\N"
"Independence Municipal Airport","Independence","United States","IDP"
"Augusta Municipal Airport","Augusta","United States","\N"
"Larned Pawnee County Airport","Larned","United States","\N"
"Lampasas Airport","Lampasas","United States","\N"
"Bay City Municipal Airport","Bay City","United States","BBC"
"Cox Field","Paris","United States","PRX"
"Coffeyville Municipal Airport","Coffeyville","United States","CFV"
"The Farm Airport","Summit","United States","\N"
"Greeley–Weld County Airport","Greeley","United States","GXY"
"General Dewitt Spain Airport","Memphis","United States","\N"
"Oryol Yuzhny Airport","Oakley","United States","OEL"
"Fremont Municipal Airport","Fremont","United States","FET"
"La Grande/Union County Airport","La Grande","United States","LGD"
"Olsztyn-Mazury Airport","Szczytno-Szymany","Poland","SZY"
"Pocono Mountains Municipal Airport","Mount Pocono","United States","MPO"
"Quakertown Airport","Quakertown","United States","UKT"
"Banff Airport","Banff","Canada","YBA"
"Nordborg Flyveplads","Nordborg","Denmark","\N"
"Banning Municipal Airport","Banning","United States","BNG"
"Gießen-Lützellinden Airport","Giessen","Germany","\N"
"Tököl Airport","Budapest","Hungary","\N"
"Karl Stefan Memorial Airport","Norfolk  Nebraska","United States","OFK"
"Kotido Airport","Kotido","Uganda","\N"
"Kajjansi Airfield","Kampala","Uganda","\N"
"Arlington Municipal Airport","Arlington","United States","\N"
"Paracatu Airport","Paracatu","Brazil","\N"
"Das Bandeirinhas Airport","Conselheiro Lafaiete","Brazil","\N"
"Janaúba Airport","Janauba","Brazil","\N"
"Juscelino Kubitscheck Airport","Teofilo Otoni","Brazil","TFL"
"Cristiano Ferreira Varella Airport","Muriae","Brazil","\N"
"Peter O Knight Airport","Tampa","United States","TPF"
"Lure Malbouhans Air Base","Malbouhans","France","\N"
"Parati Airport","Paraty","Brazil","\N"
"Umberto Modiano Airport","Buzios","Brazil","BZC"
"Angra dos Reis Airport","Angra dos Reis","Brazil","\N"
"Itaperuna Airport","Itaperuna","Brazil","ITP"
"Maricá Airport","Marica","Brazil","\N"
"Resende Airport","Resende","Brazil","REZ"
"Saquarema Airport","Saquarema","Brazil","\N"
"Drumheller Municipal Airport","Drumheller","Canada","\N"
"Mwene-Ditu Airport","Mwene-Ditu","Congo (Kinshasa)","\N"
"Tunta Airport","Kabinda","Congo (Kinshasa)","KBN"
"Ikela Airport","Ikela","Congo (Kinshasa)","IKL"
"Aripuanã Airport","Aripuana","Brazil","AIR"
"Juruena Airport","Juruena","Brazil","JRN"
"Juína Airport","Juina","Brazil","JIA"
"Vila Rica Airport","Vila Rica","Brazil","VLP"
"Inácio Luís do Nascimento Airport","Juara","Brazil","JUA"
"Cáceres Airport","Caceres","Brazil","CCX"
"Posto Leonardo Vilas Boas Airport","Chapada dos Guimaraes","Brazil","\N"
"Tangará da Serra Airport","Tangara da Serra","Brazil","TGQ"
"Canarana Airport","Canarana","Brazil","CQA"
"Vila Bela da Santíssima Trindade Airport","Vila Bela da Santissima Trindade ","Brazil","MTG"
"Bumbar Airport","Bumba","Congo (Kinshasa)","BMB"
"Sobral Airport","Sobral","Brazil","\N"
"Arapiraca Airport","Arapiraca","Brazil","APQ"
"Cangapara Airport","Floriano","Brazil","FLB"
"Picos Airport","Picos","Brazil","PCS"
"Beni Airport","Beni","Congo (Kinshasa)","BNC"
"Boende Airport","Boende","Congo (Kinshasa)","BNB"
"Montauk Airport","Montauk","United States","MTP"
"Porter County Municipal Airport","Valparaiso IN","United States","VPZ"
"Dharavandhoo Airport","DHARAVANDHOO","Maldives","DRV"
"Saumlaki/Olilit Airport","Saumlaki","Indonesia","SXK"
"Cerro Largo International Airport","Melo","Uruguay","MLZ"
"Tydeo Larre Borges Airport","Paysandu","Uruguay","PDU"
"Artigas International Airport","Artigas ","Uruguay","ATI"
"Murray Bridge Airport","Murray Bridge","Australia","\N"
"Horsham Airport","Horsham","Australia","HSM"
"Swan Hill Airport","Swan Hill","Australia","SWH"
"Turtle Island Seaplane Base","Turtle Island","Fiji","TTL"
"Dewadaru - Kemujan Island","Karimunjawa","Indonesia","KWB"
"Kongolo Airport","Kongolo","Congo (Kinshasa)","KOO"
"Attopeu Airport","Attopeu","Laos","AOU"
"Kahemba Airport","Kahemba","Congo (Kinshasa)","\N"
"Francisco de Miranda Airport","Caracas","Venezuela","\N"
"São Miguel do Oeste Airport","Sao Miguel do Oeste","Brazil","SQX"
"Mason County Airport","Ludington","United States","LDM"
"Reid-Hillview Airport of Santa Clara County","San Jose","United States","RHV"
"Sohar Airport","Sohar","Oman","OHS"
"Kadanwari Airport","Kadanwari","Pakistan","KCF"
"Sawan Airport","Sindh","Pakistan","RZS"
"Thamkharka Airport","Thamkharka","Nepal","\N"
"Thimarafushi Airport","Thimarafushi","Maldives","TMF"
"Ifuru Airport","Ifuru","Maldives","IFU"
"Kaintiba Airport","Kieta","Papua New Guinea","KZF"
"Ordu Giresun Airport","Ordu-Giresun","Turkey","OGU"
"Hakkari Yüksekova Airport","Hakkari","Turkey","YKO"
"Jelenia Góra Glider Airport","Jelenia Gora","Poland","\N"
"Bathpalathang Airport","Jakar","Bhutan","BUT"
"Sultan Bantilan Airport","Toli-Toli","Indonesia","TLI"
"Vuktyl Airport","Vuktyl","Russia","\N"
"Berezniki Airport","Berezniki","Russia","\N"
"San Sebastián Airport","San Sebastian","Chile","\N"
"Tolwin Observatory Airport","Tolhuin","Argentina","\N"
"Tarko-Sale Airport","Tarko-Sale","Russia","TQL"
"Camarillo Airport","Camarillo - CA","United States","\N"
"Leopoldsburg Airfield","Leopoldsburg","Belgium","\N"
"Jinchuan Airport","Jinchuan","China","JIC"
"Omtepe Airport","Moyogalpa","Nicaragua","\N"
"Alashankou Bole (Bortala) airport","Bole","China","BPL"
"Fuyun Koktokay Airport","Fuyun","China","FYN"
"Achinsk Airport","Achinsk","Russia","ACS"
"Linfen Qiaoli Airport","LINFEN","China","LFQ"
"Hinton/Jasper-Hinton Airport","Hinton","Canada","YJP"
"Watsonville Municipal Airport","Watsonville","United States","WVI"
"Gelephu Airport","Gelephu","Bhutan","GLU"
"Hollister Municipal Airport","Hollister","United States","HLI"
"Williamsburg Jamestown Airport","Williamsburg","United States","\N"
"Dulkaninna Airport","Dulkaninna","Australia","DLK"
"William Creek Airport","William Creek","Australia","\N"
"Kenora Seaplane Base","Kenora","Canada","\N"
"Rumbula Air Base","Riga","Latvia","\N"
"Siquijor Airport","Siquijor","Philippines","\N"
"Opapimiskan Lake Airport","Musselwhite Mine","Canada","YBS"
"Rizhao Shanzihe Airport","Rizhao","China","RIZ"
"Shaxian Airport","Sanming","China","SQJ"
"Taroom Airport","Taroom","Australia","XTO"
"Gelnhausen Airport","Gelnhausen","Germany","\N"
"Ærø Airport","Aero","Denmark","\N"
"Lauterbach Airport","Lauterbach-Wernges","Germany","\N"
"Aschaffenburg Airport","Aschaffenburg","Germany","\N"
"Squamish Airport","Squamish","Canada","YSE"
"Reichelsheim Airport","Reichelsheim","Germany","\N"
"Marburg-Schönstadt Airport","Schoenstadt","Germany","\N"
"Lauenbrück Airport","Lauenbrueck","Germany","\N"
"Hüttenbusch Airport","Huettenbusch","Germany","\N"
"Vrsar Crljenka Airport","Vsar","Croatia","\N"
"Union County Airport","Marysville","United States","\N"
"La Grande-4 Airport","La Grande-4","Canada","YAH"
"Alert Bay Airport","Alert Bay","Canada","YAL"
"Liverpool South Shore Regional Airport","Liverpool","Canada","\N"
"Nipawin Airport","Nipawin","Canada","\N"
"Centralia / James T. Field Memorial Aerodrome","Centralia","Canada","YCE"
"Blue River Airport","Blue River","Canada","\N"
"Chetwynd Airport","Chetwynd","Canada","YCQ"
"Ross River Airport","Ross River","Canada","XRR"
"Dolbeau St Felicien Airport","Dolbeau-St-Félicien","Canada","YDO"
"Amos/Magny Airport","Amos","Canada","YEY"
"Goderich Airport","Goderich","Canada","\N"
"Hope Airport","Hope","Canada","YHE"
"Haines Junction Airport","Haines Junction","Canada","YHT"
"Digby / Annapolis Regional Airport","Digby","Canada","YDG"
"Fort Liard Airport","Fort Liard","Canada","YJF"
"Key Lake Airport","Key Lake","Canada","YKJ"
"Leaf Rapids Airport","Leaf Rapids","Canada","YLR"
"Matane Airport","Matane","Canada","YME"
"Charlevoix Airport","Charlevoix","Canada","YML"
"Nejanilini Lake Airport","Nejanilini Lake","Canada","\N"
"Owen Sound / Billy Bishop Regional Airport","Owen Sound","Canada","YOS"
"Port Hawkesbury Airport","Port Hawkesbury","Canada","YPS"
"St Thomas Municipal Airport","St Thomas","Canada","YQS"
"Ottawa / Rockcliffe Airport","Ottawa","Canada","YRO"
"Ottawa / Carp Airport","Ottawa","Canada","\N"
"Smiths Falls-Montague (Russ Beach) Airport","Smiths Falls","Canada","YSH"
"St Leonard Airport","St Leonard","Canada","YSL"
"Virden/R.J. (Bob) Andrew Field Regional Aerodrome","Virden","Canada","\N"
"Vernon Airport","Vernon","Canada","YVE"
"Beaver Creek Airport","Beaver Creek","Canada","YXQ"
"Shuswap Regional Airport","Salmon Arm","Canada","YSN"
"Kelsey Airport","Kelsey","Canada","KES"
"Pukatawagan Airport","Pukatawagan","Canada","XPK"
"Grand Forks Airport","Grand Forks","Canada","ZGF"
"Jenpeg Airport","Jenpeg","Canada","ZJG"
"Thicket Portage Airport","Thicket Portage","Canada","YTD"
"Pikwitonei Airport","Pikwitonei","Canada","PIW"
"Poplar River Airport","Poplar River","Canada","XPP"
"Pincher Creek Airport","Pincher Creek","Canada","WPC"
"Stewart Airport","Stewart","Canada","ZST"
"Ignace Municipal Airport","Ignace","Canada","ZUC"
"Neubrandenburg Airport","Neubrandenburg","Germany","FNB"
"Airport Bamberg-Breitenau","Bamberg","Germany","\N"
"Zerbst Airport","Zerbst/Anhalt","Germany","\N"
"RAF Spadeadam","Spadeadam","United Kingdom","\N"
"RAF Kinloss","Kinloss","United Kingdom","FSS"
"Biała Podlaska Airfield","Biała Podlaska","Poland","BXP"
"Cewice Air Base","Lębork","Poland","\N"
"Deblin Military Air Base","Dęblin","Poland","\N"
"Leczyca Military Air Base","Leczyca","Poland","\N"
"Minsk Mazowiecki Military Air Base","","Poland","\N"
"Powidz Military Air Base","","Poland","\N"
"Tomaszow Mazowiecki Military Air Base","Tomaszów Mazowiecki","Poland","\N"
"Björkvik Air Base","Björkvik","Sweden","\N"
"Ljungbyhed Airport","Ljungbyhed","Sweden","\N"
"Daugavpils Intrenational Airport","Daugavpils","Latvia","DGP"
"Jēkabpils Air Base","Jēkabpils","Latvia","\N"
"Jūrmala Airport","Tukums","Latvia","\N"
"Kėdainiai Air Base","Kėdainiai","Lithuania","\N"
"Lime Acres Finsch Mine Airport","Lime Acres","South Africa","LMR"
"Sua Pan Airport","Sowa","Botswana","SXN"
"Lusaka City Airport","Lusaka","Zambia","\N"
"Sumbe Airport","Sumbe","Angola","NDD"
"Mangochi Airport","Mangochi","Malawi","MAI"
"Arandis Airport","Arandis","Namibia","ADI"
"Mariental Airport","Mariental","Namibia","\N"
"Almaza Air Force Base","Cairo","Egypt","\N"
"Beni Suef Air Base","Beni Suef","Egypt","\N"
"Jiyanklis Air Base","Jiyanklis","Egypt","\N"
"Merowe New Airport","Merowe","Sudan","MWE"
"St Louis Regional Airport","Alton/St Louis","United States","ALN"
"Chandler Field","Alexandria","United States","AXN"
"Columbus Municipal Airport","Columbus","United States","CLU"
"Curtis Field","Brady","United States","BBD"
"Eastern Sierra Regional Airport","Bishop","United States","BIH"
"Baker City Municipal Airport","Baker City","United States","BKE"
"Miley Memorial Field","Big Piney","United States","BPI"
"Ozark Regional Airport","Mountain Home","United States","WMH"
"W K Kellogg Airport","Battle Creek","United States","BTL"
"Burley Municipal Airport","Burley","United States","BYI"
"Northeast Iowa Regional Airport","Charles City","United States","CCY"
"Chanute Martin Johnson Airport","Chanute","United States","CNU"
"Jacksonville Executive at Craig Airport","Jacksonville","United States","CRG"
"Crossville Memorial Whitson Field","Crossville","United States","CSV"
"Davison Army Air Field","Fort Belvoir","United States","DAA"
"Barstow Daggett Airport","Daggett","United States","DAG"
"Deming Municipal Airport","Deming","United States","DMN"
"Desert Rock Airport","Mercury","United States","DRA"
"Needles Airport","Needles","United States","EED"
"Duke Field","Crestview","United States","EGI"
"Murray Field","Eureka","United States","EKA"
"San Marcos Regional Airport","San Marcos","United States","\N"
"Sawyer County Airport","Hayward","United States","HYR"
"Kimble County Airport","Junction","United States","JCT"
"Monticello Municipal Ellis Field","Monticello","United States","\N"
"Derby Field","Lovelock","United States","LOL"
"Mobridge Municipal Airport","Mobridge","United States","MBG"
"Mc Comb/Pike County Airport/John E Lewis Field","Mc Comb","United States","MCB"
"Southern Illinois Airport","Carbondale/Murphysboro","United States","MDH"
"Mc Entire Joint National Guard Base","Eastover","United States","MMT"
"Brunswick Executive Airport","Brunswick","United States","NHZ"
"Naval Station Mayport (Admiral David L. Mcdonald Field)","Mayport","United States","NRB"
"Orangeburg Municipal Airport","Orangeburg","United States","OGB"
"Columbus Municipal Airport","Columbus","United States","\N"
"Ottumwa Regional Airport","Ottumwa","United States","OTM"
"Cairns AAF (Fort Rucker) Air Field","Fort Rucker/Ozark","United States","OZR"
"Ralph Wenz Field","Pinedale","United States","PWY"
"Dutchess County Airport","Poughkeepsie","United States","POU"
"New Richmond Regional Airport","New Richmond","United States","\N"
"Russell Municipal Airport","Russell","United States","RSL"
"Redwood Falls Municipal Airport","Redwood Falls","United States","RWF"
"Salinas Municipal Airport","Salinas","United States","SNS"
"Sonora Municipal Airport","Sonora","United States","\N"
"Saline County Regional Airport","Benton","United States","\N"
"Tonopah Airport","Tonopah","United States","TPH"
"Aurora State Airport","Aurora","United States","\N"
"Ukiah Municipal Airport","Ukiah","United States","UKI"
"University Oxford Airport","Oxford","United States","UOX"
"Huntsville Regional Airport","Huntsville","United States","HTV"
"Miller Field","Valentine","United States","VTN"
"Winnemucca Municipal Airport","Winnemucca","United States","WMC"
"West Woodward Airport","Woodward","United States","WWR"
"Cape Canaveral AFS Skid Strip","Cocoa Beach","United States","\N"
"Homey (Area 51) Airport","Groom Lake","United States","\N"
"Zanesville Municipal Airport","Zanesville","United States","ZZV"
"Gjadër Air Base","Gjadër","Albania","\N"
