"compagnia_aerea","aeroplano"
"Eagle Jet Charter","AP893"
"Air Express","AP177"
"Medjet International","AP453"
"MHS Aviation GmbH","AP707"
"Cargo Express","AP564"
"Teledyne Continental Motors","AP172"
"Aerosaba","AP222"
"Aero Servicios","AP452"
"Air Senegal International","AP108"
"Trans-Air-Link","AP176"
"Mavial Magadan Airlines","AP54"
"St. Andrews Airways","AP543"
"Aero Gambia","AP374"
"Xpressair","AP547"
"Air Parabet","AP53"
"VZ Flights","AP480"
"Jet Stream","AP957"
"Red Sea Aviation","AP472"
"Wondair on Demand Aviation","AP636"
"City Airways","AP875"
"Airquarius Air Charter","AP714"
"BAC Leasing Limited","AP895"
"Trans Am Compania","AP462"
"Kitty Hawk Airways","AP232"
"Aero Norte","AP130"
"Compania Transportes Aereos Del Sur","AP507"
"Dix Aviation","AP881"
"North Atlantic Cargo","AP751"
"Vladivostok Air","AP860"
"Aerotaxis Dosmil","AP460"
"Bobb Air Freight","AP312"
"Massachusetts Institute of Technology","AP80"
"Lund University School of Aviation","AP962"
"Royal Netherlands Air Force","AP538"
"Sun Pacific International","AP46"
"Ghana International Airlines","AP373"
"Aero Servicio Pity","AP484"
"Grantex Aviation","AP988"
"Jet Stream","AP68"
"Martinair","AP356"
"Canadian National Airways","AP718"
"Elrom Aviation and Investments","AP512"
"Ptarmigan Airways","AP600"
"Alatau Airlines","AP842"
"Pioneer Airlines","AP103"
"Malagasy Airlines","AP162"
"Walsten Air Services","AP462"
"Canadian Global Air Ambulance","AP235"
"Express Air","AP529"
"Centrafrican Airlines","AP920"
"SOCHI AIR CHATER","AP222"
"Wasaya Airways","AP163"
"OneChina","AP596"
"Cloud 9 Air Charters","AP420"
"Fairoaks Flight Centre","AP463"
"Africa Airlines","AP201"
"Aerochiapas","AP987"
"Polish Air Force","AP866"
"AVCOM","AP74"
"Air Plan International","AP948"
"Arkefly","AP979"
"Mongolian International Air Lines ","AP351"
"Private Jet Management","AP708"
"Antares Airtransport","AP37"
"Holstenair Lubeck","AP210"
"Flylink Express","AP208"
"LSM AIRLINES ","AP908"
"National Air Cargo","AP715"
"Trans Maldivian Airways","AP506"
"Hermes Airlines","AP593"
"Helitrans Air Service","AP886"
"Gambia International Airlines","AP572"
"Croatia Airlines","AP425"
"Walsten Air Services","AP488"
"Insel Air International","AP444"
"Helitrans","AP115"
"Amerer Air","AP259"
"International Sabilisation Assistance Force","AP352"
"Foxair","AP731"
"3 Valleys Airlines","AP641"
"Aero Sudpacifico","AP538"
"Khyber Afghan Airlines","AP325"
"AMR Services Corporation","AP681"
"Pocono Air Lines","AP764"
"Aeropelican Air Services","AP534"
"Galaxy Airlines","AP290"
"TAES Transportes Aereos de El Salvador","AP89"
"Lebanese Air Transport (Charter)","AP138"
"Aur Rum Benin","AP457"
"Air Transport Association","AP200"
"SATA Air Acores","AP89"
"Organizacoes Mambra","AP187"
"Southeast Airmotive","AP568"
"Jetstar Japan ","AP310"
"Labrador Airways","AP926"
"Sobel Airlines of Ghana","AP867"
"Midwest Helicopters De Mexico","AP452"
"Texair Charter","AP372"
"Second Sverdlovsk Air Enterprise","AP224"
"Transwings","AP64"
"TNT International Aviation","AP781"
"Elisra Airlines","AP562"
"Northumbria Helicopters","AP244"
"SkyWork Airlines ","AP383"
"Maersk","AP88"
"Taquan Air Services","AP913"
"Trail Lake Flying Service","AP737"
"Sun Country Airlines","AP430"
"The 955 Preservation Group","AP974"
"Aquila Air","AP758"
"Northwest Aero Associates","AP717"
"Master Airways","AP237"
"Nanjing Airlines","AP386"
"Golden Pacific Airlines","AP870"
"Publivoo","AP776"
"Welcome Air","AP835"
"Cyprus Airways","AP462"
"Force Aerienne Francaise","AP592"
"Transaviabaltika","AP866"
"Pirinair Express","AP506"
"Mudan Airlines","AP118"
"Appalachian Flying Service","AP555"
"Air Turquoise","AP46"
"DAS Airlines","AP466"
"Air Chathams","AP745"
"Virgin Blue","AP96"
"Arcus-Air Logistic","AP760"
"Camair-co","AP489"
"Bristol Flying Centre","AP812"
"Alsaqer Aviation","AP935"
"Servicios Aeronauticos Aero Personal","AP857"
"Mali Airways","AP400"
"Dassault Aviation","AP400"
"Air Atonabee","AP487"
"Durango Jet","AP779"
"NZ Warbirds Association","AP365"
"Afra Airlines","AP925"
"Compass Airlines (Australia)","AP888"
"Azza Transport","AP848"
"EFAOS- Agencia De Viagens e Turismo","AP519"
"Shaheen Airport Services","AP745"
"Comet Airlines","AP557"
"Polizeihibschrauberstaffel Neidersachsen","AP795"
"Coningsby Flying Training Unit","AP684"
"Varig Log","AP939"
"TTA - Sociedade de Transporte e Trabalho Aereo","AP579"
"FLTPLAN","AP904"
"Victor Echo","AP114"
"Jagson Airlines","AP922"
"Air Italy","AP831"
"Jetall Holdings","AP606"
"Executive Air Charter","AP140"
"Surninam International Victory Airline","AP416"
"Santa Barbara Airlines","AP443"
"Dassault Aviation","AP5"
"Great American Airways","AP981"
"Yangon Airways","AP100"
"First Sabre","AP809"
"Aerosec","AP445"
"Business Jet Solutions","AP941"
"Air Hamburg (AHO)","AP766"
"Air San Juan","AP442"
"C.S.P.","AP612"
"Nigerian Global","AP587"
"BAL Bashkirian Airlines","AP790"
"Heli Ambulance Team","AP674"
"Innotech Aviation","AP985"
"Transporte Aero MGM","AP176"
"El Sol De America","AP681"
"Aerovias Castillo","AP295"
"Direct Air","AP800"
"Cargoman","AP574"
"Baltic Aviation","AP807"
"Orange Air Sierra Leone","AP238"
"Kampuchea Airlines","AP745"
"Epps Air Service","AP562"
"Air Executive Charter","AP921"
"Bright Air","AP847"
"LUKoil-Avia","AP121"
"IndiGo Airlines","AP604"
"Ozark Air Lines","AP154"
"Air Batumi","AP642"
"Eldinder Aviation","AP95"
"Mandala Airlines","AP640"
"Airailes","AP380"
"Shandong Airlines Rainbow Jet","AP335"
"Tradewinds Airlines","AP635"
"Japan Regio","AP589"
"Langtry Flying Group","AP896"
"Altus Airlines","AP978"
"Penya De L'Aire","AP330"
"Malaya Aviatsia Dona","AP730"
"Boliviana de Aviacion (OB)","AP906"
"Dassault Falcon Service","AP796"
"Hankook Airline","AP853"
"Marghi Air","AP134"
"Aviaexpresscruise","AP577"
"Sloane Aviation","AP97"
"Baja Air","AP390"
"China Northwest Airlines (WH)","AP770"
"Canadian Regional Airlines","AP8"
"Arkia Israel Airlines","AP432"
"Dornier Aviation Nigeria","AP305"
"Kato Airline","AP632"
"Interflight","AP227"
"ABX Air","AP609"
"Taftan Airlines","AP171"
"Palau Asia Pacific Airlines","AP283"
"Andalus Lineas Aereas","AP455"
"V Bird Airlines Netherlands","AP1"
"Atlasjet","AP701"
"Financial Airxpress","AP795"
"Cal-West Aviation","AP907"
"Aerolineas Africanas","AP919"
"Air France","AP47"
"HC Airlines","AP50"
"Aeronaves TSM","AP247"
"Berjaya Air","AP806"
"Air Data","AP117"
"Odessa Airlines","AP73"
"European Business Jets","AP647"
"Peran","AP415"
"US Express","AP147"
"Diamond Aviation","AP627"
"Air One Cityliner","AP411"
"Horizon Air Service","AP31"
"Marshall Aerospace","AP687"
"Wilbur's Flight Operations","AP418"
"Skystar Airways","AP398"
"Pegasus Hava Tasimaciligi","AP896"
"Regionalia Uruguay","AP369"
"Sprague Electric Company","AP880"
"Labcorp","AP792"
"Air Taxi & Cargo","AP1000"
"All Colombia","AP310"
"Aerodromo De La Mancha","AP964"
"Dawn Air","AP649"
"Oxford Air Services","AP573"
"Airwork","AP472"
"ABX Air","AP59"
"Dash Air Charter","AP677"
"ZAS Airlines of Egypt","AP585"
"Clark Aviation","AP902"
"Gryphon Airlines","AP901"
"Eurolot","AP968"
"Coastal Airways","AP971"
"Rossair Europe","AP85"
"Pinnacle Air Group","AP52"
"Comfort Express Virtual Charters","AP158"
"Air Special","AP698"
"Malagasy Airlines","AP431"
"Icar Air","AP215"
"Eurocopter","AP89"
"Jim Hankins Air Service","AP885"
"Firefly","AP83"
"Arkhabay","AP697"
"Aero Air","AP871"
"National Grid","AP538"
"Huaxia","AP123"
"Air Tomisko","AP587"
"ValueJet","AP267"
"Alliance","AP708"
"Bankair","AP397"
"Organizacion De Transportes Aereos","AP659"
"Colvin Aviation","AP880"
"Airlift Alaska","AP82"
"Allegheny Commuter Airlines","AP64"
"Alpi Eagles","AP997"
"Kyrgyz Trans Avia","AP98"
"Buryat Airlines Aircompany","AP333"
"Grampian Flight Centre","AP185"
"Aerolift Company","AP601"
"Rich International Airways","AP562"
"Lineas Aereas Canedo LAC","AP148"
"All Asia","AP553"
"Bradly Air (Charter) Services","AP870"
"Apoyo Aereo","AP373"
"Aerotaxis De La Bahia","AP940"
"Rainbow Air Polynesia","AP88"
"Air Uganda International Ltd.","AP977"
"Eurosense","AP364"
"South West Air","AP550"
"Hangard Aviation","AP932"
"Chartright Air","AP359"
"Marham Flying Training Unit","AP858"
"Westward Airways","AP675"
"Shaheen Airport Services","AP506"
"Taxis Aereos de Sinaloa","AP453"
"Aer Lingus","AP609"
"Aircompany Grodno","AP187"
"Indigo","AP356"
"Aeron International Airlines","AP901"
"Mexicana de Aviaci","AP925"
"Siam GA","AP521"
"Golden Pacific Airlines","AP521"
"Compania Aerotecnicas Fotograficas","AP634"
"Uni-Fly","AP331"
"International Air Service","AP509"
"Luxor Air","AP62"
"Ryan Air Services","AP949"
"Hokkaido Air System","AP512"
"Federal Aviation Administration","AP733"
"Aerolineas Medellin","AP320"
"Mountain Bird","AP850"
"Pascan Aviation","AP607"
"Botir-Avia","AP655"
"SriLankan Airlines","AP685"
"Pan American Airways","AP753"
"Arrendoora y Transportadora Aerea","AP453"
"Balkan Bulgarian Airlines","AP431"
"Svyaz Rossiya","AP417"
"Pearl Airways","AP651"
"Aerotaxis Metropolitanos","AP406"
"Hellenic Airways","AP1"
"General Airways","AP933"
"LAN Express","AP159"
"Michael Airlines","AP711"
"Air Korea Co. Ltd.","AP347"
"Australian air Express","AP276"
"Thunder Airlines","AP420"
"IBL Aviation","AP516"
"Air Sandy","AP819"
"Aeronem Air Cargo","AP780"
"Jet Connection","AP176"
"Wings Air Transport","AP713"
"Trans Am Compania","AP58"
"Avio Nord","AP542"
"Vuola Italia","AP365"
"Condor","AP245"
"Natural Environment Research Council","AP537"
"Kunpeng Airlines","AP25"
"Aerodienst GmbH","AP204"
"Sunstate Airlines","AP991"
"Zuliana de Aviacion","AP750"
"Keystone Aerial Surveys","AP849"
"Air Travel Corp.","AP385"
"223 Flight Unit State Airline","AP555"
"Kyrgyz Trans Avia","AP524"
"Zhongfei General Aviation","AP723"
"Austro Aereo","AP400"
"Real Aeroclub De Ternerife","AP802"
"Goodridge (UK) Limited","AP839"
"Air Malta","AP406"
"Air Pack Express","AP700"
"Center Vol","AP814"
"Transavio","AP550"
"Stewart Aviation Services","AP411"
"Air Urga","AP201"
"Globus","AP177"
"Aerolineas Ejecutivas Tarascas","AP569"
"Aero Survey","AP206"
"Spicejet","AP645"
"Russia State Transport","AP789"
"United Feeder Service","AP296"
"Atlas Cargo Lines","AP134"
"Norcopter","AP778"
"Slok Air","AP840"
"Leeming Flying Training Unit","AP356"
"Ulyanovsk Higher Civil Aviation School","AP10"
"Kavminvodyavia","AP510"
"Houston Helicopters","AP787"
"Aero Barloz","AP386"
"Alitalia Express","AP203"
"Deutsches Zentrum fur Luft-und Raumfahrt EV","AP771"
"Argosy Airways","AP792"
"SAAD (A320) Limited","AP257"
"Pocono Air Lines","AP737"
"Pacific Air Charter","AP22"
"SAAB-Aircraft","AP225"
"Comfort Express Virtual Charters Albany","AP504"
"Averitt Air Charter","AP562"
"Nelson Aviation College","AP788"
"African Airlines","AP235"
"Janair","AP74"
"Trans-Air-Congo","AP87"
"Pacific Aviation (United States)","AP268"
"AlbaStar","AP895"
"Seagle Air","AP662"
"Astrakhan Airlines","AP947"
"Flair Airlines","AP594"
"Ptarmigan Airways","AP71"
"Emerald Airways","AP714"
"Alfa 4","AP583"
"Crown Air Systems","AP542"
"Norlandair","AP514"
"Eastern Sky Jets","AP906"
"Eram Air","AP816"
"Aleem","AP401"
"Christman Air System","AP220"
"Airways International","AP678"
"Transaero Airlines","AP599"
"Metro Business Aviation","AP433"
"Mustique Airways","AP322"
"SFT-Sudanese Flight","AP67"
"University of North Dakota","AP907"
"Trans Am Compania","AP509"
"Flying kangaroo Airline","AP732"
"Buquebus Líneas Aéreas","AP778"
"Bissau Airlines","AP401"
"African Airlines","AP933"
"Utair South Africa","AP840"
"WebJet Linhas A","AP36"
"Arizona Airways","AP705"
"Napier Air Service Inc","AP346"
"Kharkov Aircraft Manufacturing Company","AP190"
"Polynesian Air-Ways","AP897"
"Atlantic Richfield Company","AP711"
"Aerotours Dominicana","AP918"
"Eti 2000","AP46"
"L A Helicopter","AP89"
"Fab Air","AP340"
"Aerolineas Del Pacifico","AP432"
"Aero Industries Inc","AP173"
"Northwestern Air","AP514"
"Tiara Air","AP686"
"Air Foyle","AP850"
"Aviastar-Tu","AP809"
"Aeroservicios California Pacifico","AP517"
"Aerolineas Sosa","AP500"
"Polynesian Airlines","AP353"
"Jet Suite","AP563"
"Aerotaxis Alfe","AP690"
"Deccan Aviation (Lanka)","AP430"
"Hainan Airlines","AP55"
"MexicanaLink","AP540"
"Polizeihubschrauberstaffel Sachsen","AP349"
"Elieuro","AP51"
"Jetlink Holland","AP650"
"Nuevo Continente","AP254"
"Toyota Canada","AP205"
"British Charter","AP893"
"Jetclub","AP997"
"Seagle Air","AP93"
"Astro Air International","AP9"
"Atlantic S.L.","AP50"
"VOLOTEA Airways","AP121"
"North Pacific Airlines","AP147"
"Yunnan Airlines","AP155"
"Goldfields Air Services","AP752"
"Flugfelag Vestmannaeyja","AP774"
"TransRussiaAirlines","AP756"
"American Aviation","AP354"
"Grampian Flight Centre","AP676"
"Hala Air","AP494"
"Kyrgyz Trans Avia","AP426"
"United Arab Emirates Air Force","AP982"
"L.A.B. Flying Service","AP915"
"Flyguppdraget Backamo","AP60"
"Air Guyane","AP48"
"Foxair","AP236"
"Linea Turistica Aerotuy","AP842"
"Tomp Airlines","AP792"
"NEXT Brasil","AP124"
"Zambezi Airlines (ZMA)","AP371"
"Gail Force Express","AP231"
"Transport Facilitators","AP784"
"Aws express","AP467"
"Islas Airways","AP287"
"Western Air","AP539"
"Metroplis","AP297"
"Haiti International Air","AP302"
"Birmingham European","AP102"
"Air City","AP951"
"Zorex","AP99"
"Airport Helicopter Basel","AP676"
"Center-South","AP334"
"Aero Rent JSC","AP535"
"Sabre Incorporated","AP760"
"DESNA","AP793"
"Mountain High Aviation","AP326"
"Luxembourg Air Rescue","AP372"
"Lentini Aviation","AP464"
"Kabo Air","AP55"
"Elbrus-Avia Air Enterprise","AP387"
"Fly Brasil","AP457"
"Aviation Legere De L'Armee De Terre","AP101"
"Parsa","AP554"
"Aeromagar","AP882"
"Operational Aviation Services","AP211"
"Med-Trans of Florida","AP237"
"Teledyne Continental Motors","AP318"
"American Airlines","AP904"
"Royal Air Force of Oman","AP159"
"Aerovitro","AP449"
"African Medical and Research Foundation","AP119"
"Burundayavia","AP303"
"Enerjet","AP359"
"Mid Airlines","AP49"
"Murray Air","AP795"
"Air Contractors","AP373"
"Welch Aviation","AP895"
"Air Corridor","AP138"
"PSA Airlines","AP525"
"MSR Flug-Charter","AP391"
"Buryat Airlines Aircompany","AP578"
"Aerolaguna","AP913"
"Roswell Airlines","AP81"
"Blue Bird Aviation","AP515"
"Canadian Airlines","AP565"
"Africa Air Links","AP922"
"Aerokuzbass","AP292"
"Aeronautica Militare","AP864"
"Laughlin Express","AP941"
"Aeromilenio","AP989"
"Mbach Air","AP493"
"Aero Servicios Azteca","AP30"
"Air Somalia","AP63"
"Kar-Air","AP784"
"InteliJet Airways","AP800"
"Aerotaxis Metropolitanos","AP844"
"Blue Sky Aviation","AP840"
"Surinam Airways","AP166"
"Professione VOlare","AP427"
"Island Express Air","AP41"
"Haitian Aviation Line","AP928"
"Aero Copter","AP115"
"G5 Executive","AP96"
"Nicaraguense De Aviacion","AP210"
"Fundació Rego","AP852"
"Transaero Airlines","AP366"
"Aeroatlas","AP554"
"Peran","AP448"
"Lawrence Aviation","AP756"
"Atlantic Aero and Mid-Atlantic Freight","AP246"
"Queen Air","AP237"
"Eagle Aviation France","AP79"
"China Cargo Airlines","AP768"
"Aero Copter","AP146"
"Frontier Airlines","AP222"
"BAC Express Airlines","AP813"
"Somon Air","AP606"
"Jetlink Express","AP986"
"De Havilland","AP69"
"Svenska Direktflyg","AP878"
"Helios Airways","AP782"
"Nile Safaris Aviation","AP188"
"Unitemp-M","AP948"
"Virgin America","AP74"
"STP Airways","AP849"
"Airmark Aviation","AP655"
"Malawi Express","AP43"
"Air One Cityliner","AP746"
"Aero Copter","AP524"
"Safat Airlines","AP539"
"Air Andaman","AP965"
"Zhongyuan Aviation","AP350"
"Air Exel","AP452"
"Executive AirShare","AP169"
"Aero Charter and Transport","AP925"
"Kanfey Ha'emek Aviation","AP721"
"Mauritanienne Air Fret","AP583"
"RAF Barkston Heath","AP472"
"Balear Express","AP420"
"Falcon Air","AP792"
"Polet","AP99"
"Rossiya","AP338"
"Nahanni Air Services Ltd","AP759"
"Pannon Air Service","AP57"
"BA101","AP821"
"US-Bangla Airlines","AP598"
"Nicaraguense De Aviacion","AP621"
"Exxavia Limited","AP805"
"LASTP","AP824"
"Central Airways","AP387"
"Air Cape","AP571"
"Air Caraibes Atlantique","AP860"
"Departmento De Agricultura De La Generalitat De Cataluna","AP876"
"Aerolineas Internacionales","AP542"
"Eastern Atlantic Charters","AP679"
"Aero Tomza","AP445"
"Artis","AP204"
"Carpatair Flight Training","AP209"
"International AirLink","AP983"
"Grant Aviation","AP147"
"GoJet Airlines","AP398"
"Aeroferinco","AP922"
"Sirvair","AP91"
"Lineas Aereas San Jose","AP171"
"Escuela De Pilotos Are Aviacion","AP900"
"Adria Airways","AP694"
"Oxaero","AP971"
"Cape Air","AP561"
"Savanah Airlines","AP416"
"Sharp Airlines","AP509"
"Yemenia","AP250"
"JDP Lux","AP618"
"Airlink","AP498"
"SAM Colombia","AP668"
"Air Burkina","AP523"
"Servicios Aeronauticos Integrales","AP807"
"Air Choice One","AP354"
"Aerotransporte Petrolero","AP351"
"Shanxi Airlines","AP656"
"Silesia Air","AP893"
"CCML Airlines","AP452"
"Sonair Servico Aereo","AP599"
"Air Mana","AP428"
"Wittering FTU","AP63"
"Mytravel Airways","AP722"
"SOCHI AIR CHATER","AP808"
"Servizi Aerei","AP692"
"Aerocon","AP30"
"International Flying Service","AP812"
"Zhongfei General Aviation","AP35"
"Aircompany Rosavia","AP672"
"Dense Connection","AP350"
"Xiamen Airlines","AP608"
"Helicap","AP619"
"Flybe Finland Oy","AP789"
"Citationshares","AP29"
"RAK Airways","AP760"
"Commander Mexicana","AP151"
"Komsomolsk-on-Amur Air Enterprise","AP451"
"National Jet Systems","AP933"
"VivaColombia","AP573"
"Deadalos Flugtbetriebs","AP488"
"Orion Air Charter","AP738"
"Skyworld Airlines","AP408"
"Transilvania","AP651"
"Fleetair","AP750"
"Lone Star Airlines","AP818"
"Zuliana de Aviacion","AP154"
"Almaty Aviation","AP850"
"Wright Air Service","AP437"
"Archer Aviation","AP954"
"Comtel Air","AP496"
"Seba Airlines","AP50"
"Denim Air ","AP220"
"Air Alize","AP124"
"Princely Jets","AP831"
"Aero Survey","AP798"
"Aram Airline","AP609"
"Air Maldives","AP530"
"Astrakhan Airlines","AP254"
"Skyfreight","AP772"
"Southern Airways","AP478"
"Iberworld","AP751"
"Australian Customs Service","AP995"
"Malaysia Airlines","AP250"
"Lynx Aviation (L3/SSX)","AP323"
"Soonair Lines","AP749"
"Sonnig SA","AP643"
"Bel Limited","AP747"
"Axel Rent","AP307"
"Northeast Aviation","AP193"
"Providence Aviation Services","AP72"
"Helenair (Barbados)","AP788"
"Mega Linhas Aereas","AP372"
"WestAir Airlines ","AP61"
"AV8 Helicopters","AP76"
"Executive Air Charter","AP375"
"Kavminvodyavia","AP314"
"Lamra","AP390"
"Hellenic Imperial Airways","AP268"
"Thryluthjonustan","AP602"
"II Lione Alato Arl","AP92"
"Nile Valley Aviation Company","AP401"
"Helitrans","AP693"
"Air Kirovograd","AP805"
"IndiGo Airlines","AP69"
"Atlas Airlines","AP641"
"Pulkovo Aircraft Services","AP29"
"Rossair Europe","AP314"
"Mimino","AP21"
"Amsterdam Airlines","AP141"
"Alberta Citylink","AP30"
"VASP","AP236"
"Norcopter","AP426"
"Great Lakes Airways (Uganda)","AP508"
"ATESA Aerotaxis Ecuatorianos","AP394"
"Twin Jet","AP820"
"German Navy","AP408"
"Flugdienst Fehlhaber","AP407"
"Isle Grande Flying School","AP429"
"Executive Turbine Aviation","AP477"
"Aerocenter","AP752"
"Rotatur","AP224"
"K-Mile Air","AP861"
"Heavylift International","AP624"
"Bentiu Air Transport","AP473"
"Northern Executive Aviation","AP976"
"Antinea Airlines","AP179"
"Jet Connection","AP661"
"Cherry Air","AP118"
"Boskovic Air Charters Limited","AP933"
"Aerotours Dominicana","AP596"
"DLR","AP967"
"Servicios Aereos Poblanos","AP820"
"Eagle International","AP891"
"Kenn Borek Air","AP723"
"Baltic Air lines","AP353"
"Macedonian Airlines","AP668"
"Air Max","AP977"
"Government Flying Service","AP600"
"Airlines Of Tasmania","AP863"
"Zimex Aviation","AP542"
"Carpatair","AP624"
"Alpine Air Express","AP412"
"Golden Myanmar Airlines","AP259"
"Aero Servicios Expecializados","AP639"
"Air Baltic","AP93"
"Aserca Airlines","AP660"
"Air Greenland","AP291"
"Interair South Africa","AP722"
"Chernomor-Avia","AP99"
"Airservices Australia","AP698"
"Galena Air Service","AP6"
"Silverhawk Aviation","AP811"
"Pan American Airways","AP976"
"Fly Air","AP43"
"Phoenix Air Lines","AP641"
"Missionair","AP190"
"Birmingham European","AP322"
"Aero-Charter Ukraine","AP601"
"Sun Air Aviation Services","AP63"
"Aeroservicios Intergrados de Norte","AP767"
"Innotech Aviation","AP528"
"Aero Transportes Del Humaya","AP302"
"Ryazan State Air Enterprise","AP194"
"Civil Aviation Authority","AP947"
"Westcoast Energy","AP570"
"Lanza Air","AP364"
"Aero Club De Portugal","AP101"
"Yeti Airways","AP388"
"ESI Eliservizi Italiani","AP335"
"United Eagle Airlines","AP423"
"Black Stallion Airways","AP625"
"Grup Air-Med","AP331"
"Air Cairo","AP875"
"Malaya Aviatsia Dona","AP443"
"Intersky","AP912"
"Executive Aircraft Services","AP88"
"Fairways Corporation","AP448"
"SAAB Nyge Aero","AP77"
"Vuelos Especializados Tollocan","AP555"
"Rusuertol","AP537"
"Roswell Airlines","AP474"
"Shanxi Airlines","AP353"
"Sundorph Aeronautical Corporation","AP220"
"David Crawshaw Consultants Limited","AP326"
"Polizeifliegerstaffel Nordrhein-Westfalen","AP778"
"Lineas Aereas San Jose","AP367"
"Aerocenter","AP807"
"Royal Phnom Penh Airways","AP939"
"Intavia Limited","AP317"
"Interavia Airlines","AP849"
"Highland Airways","AP640"
"IBC Airways","AP351"
"Finlandian","AP217"
"Mountain Air Cargo","AP474"
"Rossiya","AP567"
"Neosiam Airways","AP996"
"Karibu Airways Company","AP436"
"Pan Malaysian Air Transport","AP404"
"TAG Aviation Espana","AP858"
"SkyWork Airlines ","AP498"
"Transport Canada","AP804"
"Western Pacific Airlines","AP403"
"Massey University School of Aviation","AP24"
"Zaire Aero Service","AP445"
"Aéris (Priv)","AP102"
"Cumberland Airways (Nicholson Air Service)","AP716"
"Lincoln Airlines","AP264"
"Interlink Airlines","AP966"
"Totavia","AP918"
"Servicios Aereos MTT","AP895"
"Naviera Mexicana","AP241"
"Mytravel Airways","AP216"
"International Air Corporation","AP472"
"Zagros Airlines","AP684"
"Search and Rescue 22","AP273"
"FLYJET","AP420"
"Spirit of Manila Airlines","AP627"
"Baron Aviation Services","AP976"
"Sierra Express","AP10"
"Air Nostrum","AP259"
"Air Queensland","AP435"
"BMW","AP725"
"Mediterranean Airways","AP662"
"Crownair","AP34"
"SkyBahamas Airlines","AP729"
"Visig Operaciones Aereas","AP722"
"Aeronavigaciya","AP933"
"SFT-Sudanese Flight","AP336"
"Inter-Air","AP904"
"Ontario Ministry of Health","AP197"
"Bristow Helicopters Nigeria","AP994"
"University Air Squadron","AP36"
"Skif-Air","AP809"
"Blue Wing Airlines","AP385"
"Meridiana","AP528"
"Air Wales","AP985"
"Vero Monmouth Airlines","AP124"
"Oxley Aviation","AP489"
"Jetairfly","AP628"
"Efata Papua Airlines","AP293"
"Delta Air Elite","AP17"
"Arkia Israel Airlines","AP459"
"AVC Airlines","AP45"
"Scenic Air","AP449"
"Cargoman","AP995"
"Air Dolomiti","AP382"
"Norrlandsflyg","AP614"
"Svenska Direktflyg","AP352"
"Lombards Air","AP158"
"Balmoral Central Contracts","AP12"
"Air Taxi & Cargo","AP637"
"Translift Airways","AP492"
"Istanbul Airlines","AP71"
"Псковавиа","AP881"
"Global Aviation and Services Group","AP625"
"Real Tonga","AP695"
"PLM Dollar Group","AP306"
"Trans Sahara Air","AP468"
"GETRA","AP797"
"Business Aviation","AP206"
"Pelita Air Service","AP656"
"Tesis","AP63"
"Dome Petroleum","AP399"
"Turk Hava Kurumu Hava Taksi Isletmesi","AP970"
"Aerolineas Argentinas","AP882"
"Phoenix Flight Operations","AP779"
"Teamline Air","AP587"
"Conviasa","AP922"
"Wright Air Lines","AP604"
"Air Macau","AP952"
"Tunisavia","AP539"
"AC Insat-Aero","AP810"
"Etram Air Wing","AP128"
"Laredo Air","AP892"
"ViznAir","AP515"
"Our Airline","AP660"
"Everts Air Alaska/Everts Air Cargo","AP361"
"Eastern Sky Jets","AP102"
"Air One Nine","AP864"
"Airwaves Airlink","AP168"
"OAG","AP406"
"Marcopolo Airways","AP156"
"AC Challenge Aero","AP732"
"Dash Aviation","AP944"
"Tranporte Amazonair","AP554"
"AirOne Continental","AP721"
"Jetstar Pacific","AP508"
"QatXpress","AP492"
"Transaven","AP938"
"Aerolineas Internacionales","AP983"
"Aero Albatros","AP546"
"Servicios Aereos Saar","AP515"
"Pan African Airways","AP587"
"LAN Cargo","AP724"
"TAES Transportes Aereos de El Salvador","AP15"
"Saudi Arabian Airlines","AP808"
"Flagship Express Services","AP804"
"Dexter (DXT)","AP388"
"International Flying Service","AP946"
"Island Aviation Services","AP177"
"Oxford Air Services","AP848"
"NHT Lineas Aereas","AP21"
"Kvadro Aero","AP14"
"Private flight","AP51"
"Aerogisa","AP196"
"Masterjet","AP922"
"International Charter Services","AP460"
"Alexandair","AP167"
"Alicante Internacional Airlines","AP494"
"Southern Jersey Airways","AP443"
"bmi","AP968"
"Trans-Colorado Airlines","AP844"
"Eagle Air Company","AP186"
"EuroJet Aviation","AP565"
"Air Pack Express","AP573"
"West Africa Airlines","AP920"
"TransAsia Airways","AP975"
"Slim Aviation Services","AP39"
"Corporate Aviation Services","AP564"
"Air Carnival","AP452"
"Canadian Helicopters","AP84"
"Millennium Air","AP162"
"Air Care Alliance","AP16"
"Atlas Aviation Group","AP933"
"O'Connor Airlines","AP677"
"Helisul","AP190"
"Helcopteros De Cataluna","AP282"
"Aircompany Grodno","AP873"
"City Airways","AP802"
"Avioimpex A.D.p.o.","AP888"
"St. Vincent Grenadines Air (1990)","AP319"
"Thyssen Krupp AG","AP499"
"Deutsche Luftverkehrsgesellschaft (DLT)","AP513"
"JMC Airlines","AP735"
"Veritair Ltd","AP568"
"Volga-Dnepr Airlines","AP842"
"Air Transport International","AP179"
"Zimbabwean Airlines","AP643"
"Helicopter & Aviation Services","AP585"
"Aero Vics","AP467"
"LAN Dominica","AP622"
"TransBrasil Airlines","AP170"
"Air Indus","AP60"
"Aerologic","AP631"
"Arizona Pacific Airways","AP519"
"Hamra Air","AP308"
"Rubystar","AP326"
